4.375000,6.500000,12.000000,5.625000,2.625000,-0.250000
3.750000,11.000000,12.000000,6.375000,2.000000,-1.500000
2.500000,9.500000,11.250000,6.000000,1.500000,-0.750000
7.187500,7.000000,13.500000,5.625000,1.875000,-1.250000
7.187500,7.500000,13.500000,5.625000,2.625000,-1.500000
4.687500,9.500000,11.250000,5.625000,2.250000,-0.750000
4.062500,9.500000,12.000000,5.625000,2.875000,-1.250000
6.562500,7.000000,12.750000,5.625000,1.500000,-1.000000
4.062500,7.500000,11.250000,6.375000,1.375000,-0.250000
7.187500,5.500000,12.750000,5.625000,2.625000,-0.500000
2.500000,8.500000,10.500000,6.750000,1.625000,-0.250000
2.812500,9.500000,11.250000,5.625000,2.625000,-0.750000
4.687500,7.500000,12.750000,5.625000,2.500000,-0.750000
6.875000,7.000000,12.000000,5.625000,2.125000,-0.500000
3.750000,7.000000,12.750000,5.625000,1.625000,-0.250000
6.562500,7.500000,12.000000,6.375000,1.625000,-1.000000
5.937500,7.500000,11.250000,6.000000,2.375000,-0.500000
2.500000,9.000000,11.250000,6.000000,2.250000,-0.500000
6.250000,6.000000,12.750000,5.625000,1.625000,-0.500000
6.562500,6.000000,12.750000,5.625000,1.625000,-0.500000
